"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 27 09:39:58 CST 2023","Tue Jun 27 09:39:59 CST 2023","1033","application.task_interface","test_interface_task","TestTask","","","新建IPC",""
"passed","Tue Jun 27 09:39:59 CST 2023","Tue Jun 27 09:40:00 CST 2023","1029","application.task_interface","test_interface_task","TestTask","","","删除IPC",""
"passed","Tue Jun 27 09:39:58 CST 2023","Tue Jun 27 09:39:58 CST 2023","14","application.task_interface","test_interface_task","TestTask","","","登录1",""
