"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 20 11:59:00 CST 2023","Tue Jun 20 11:59:01 CST 2023","1021","application.task_interface","test_interface_task","TestTask","","","删除IPC",""
"passed","Tue Jun 20 11:58:56 CST 2023","Tue Jun 20 11:58:57 CST 2023","1040","application.task_interface","test_interface_task","TestTask","","","新建IPC",""
"passed","Tue Jun 20 11:58:58 CST 2023","Tue Jun 20 11:58:59 CST 2023","1025","application.task_interface","test_interface_task","TestTask","","","新建IPC",""
"passed","Tue Jun 20 11:58:57 CST 2023","Tue Jun 20 11:58:58 CST 2023","1023","application.task_interface","test_interface_task","TestTask","","","删除IPC",""
"passed","Tue Jun 20 11:58:56 CST 2023","Tue Jun 20 11:58:56 CST 2023","109","application.task_interface","test_interface_task","TestTask","","","登录",""
