"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 28 10:21:03 CST 2023","Wed Jun 28 10:21:04 CST 2023","1034","application.task_interface","test_interface_task","TestTask","","","新建IPC",""
"broken","Wed Jun 28 10:21:04 CST 2023","Wed Jun 28 10:21:05 CST 2023","1030","application.task_interface","test_interface_task","TestTask","","","删除IPC",""
"passed","Wed Jun 28 10:21:03 CST 2023","Wed Jun 28 10:21:03 CST 2023","20","application.task_interface","test_interface_task","TestTask","","","登录1",""
