"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 27 09:29:37 CST 2023","Tue Jun 27 09:29:38 CST 2023","1028","application.task_interface","test_interface_task","TestTask","","","删除IPC",""
"passed","Tue Jun 27 09:29:36 CST 2023","Tue Jun 27 09:29:37 CST 2023","1021","application.task_interface","test_interface_task","TestTask","","","新建IPC",""
"passed","Tue Jun 27 09:29:36 CST 2023","Tue Jun 27 09:29:36 CST 2023","10","application.task_interface","test_interface_task","TestTask","","","登录1",""
