"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 26 17:39:38 CST 2023","Mon Jun 26 17:39:38 CST 2023","10","application.task_interface","test_interface_task","TestTask","","","登录1",""
"passed","Mon Jun 26 17:39:38 CST 2023","Mon Jun 26 17:39:39 CST 2023","1022","application.task_interface","test_interface_task","TestTask","","","新建IPC",""
"broken","Mon Jun 26 17:39:39 CST 2023","Mon Jun 26 17:39:40 CST 2023","1023","application.task_interface","test_interface_task","TestTask","","","删除IPC",""
