"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 27 09:28:03 CST 2023","Tue Jun 27 09:28:03 CST 2023","10","application.task_interface","test_interface_task","TestTask","","","登录1",""
"passed","Tue Jun 27 09:28:04 CST 2023","Tue Jun 27 09:28:05 CST 2023","1024","application.task_interface","test_interface_task","TestTask","","","删除IPC",""
"passed","Tue Jun 27 09:28:03 CST 2023","Tue Jun 27 09:28:04 CST 2023","1024","application.task_interface","test_interface_task","TestTask","","","新建IPC",""
