"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 25 11:36:52 CST 2023","Sun Jun 25 11:36:53 CST 2023","1047","application.task_interface","test_interface_task","TestTask","","","删除IPC",""
"passed","Sun Jun 25 11:36:51 CST 2023","Sun Jun 25 11:36:52 CST 2023","1029","application.task_interface","test_interface_task","TestTask","","","新建IPC",""
"passed","Sun Jun 25 11:36:54 CST 2023","Sun Jun 25 11:36:55 CST 2023","1018","application.task_interface","test_interface_task","TestTask","","","删除IPC",""
"passed","Sun Jun 25 11:36:51 CST 2023","Sun Jun 25 11:36:51 CST 2023","11","application.task_interface","test_interface_task","TestTask","","","登录",""
"passed","Sun Jun 25 11:36:53 CST 2023","Sun Jun 25 11:36:54 CST 2023","1024","application.task_interface","test_interface_task","TestTask","","","新建IPC",""
