"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 26 17:20:40 CST 2023","Mon Jun 26 17:20:41 CST 2023","1025","application.task_interface","test_interface_task","TestTask","","","新建IPC",""
"passed","Mon Jun 26 17:20:40 CST 2023","Mon Jun 26 17:20:40 CST 2023","44","application.task_interface","test_interface_task","TestTask","","","登录1",""
"passed","Mon Jun 26 17:20:41 CST 2023","Mon Jun 26 17:20:42 CST 2023","1032","application.task_interface","test_interface_task","TestTask","","","删除IPC",""
