"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 02 15:52:42 CST 2023","Fri Jun 02 15:52:48 CST 2023","6099","application.task_ui","test_ui_task","TestTask","","","盒子平台登录",""
"passed","Fri Jun 02 15:52:48 CST 2023","Fri Jun 02 15:52:55 CST 2023","6433","application.task_ui","test_ui_task","TestTask","","","盒子平台添加IPC",""
"passed","Fri Jun 02 15:52:55 CST 2023","Fri Jun 02 15:53:16 CST 2023","21571","application.task_ui","test_ui_task","TestTask","","","盒子平台添加镜像文件",""
