"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 02 15:49:25 CST 2023","Fri Jun 02 15:49:26 CST 2023","1020","application.task_interface","test_interface_task","TestTask","","","删除IPC",""
"passed","Fri Jun 02 15:49:22 CST 2023","Fri Jun 02 15:49:23 CST 2023","1023","application.task_interface","test_interface_task","TestTask","","","新建IPC",""
"passed","Fri Jun 02 15:49:22 CST 2023","Fri Jun 02 15:49:22 CST 2023","243","application.task_interface","test_interface_task","TestTask","","","登录",""
"passed","Fri Jun 02 15:49:23 CST 2023","Fri Jun 02 15:49:24 CST 2023","1032","application.task_interface","test_interface_task","TestTask","","","删除IPC",""
"passed","Fri Jun 02 15:49:24 CST 2023","Fri Jun 02 15:49:25 CST 2023","1018","application.task_interface","test_interface_task","TestTask","","","新建IPC",""
