"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 27 09:24:05 CST 2023","Tue Jun 27 09:24:05 CST 2023","35","application.task_interface","test_interface_task","TestTask","","","登录1",""
"passed","Tue Jun 27 09:24:07 CST 2023","Tue Jun 27 09:24:08 CST 2023","1048","application.task_interface","test_interface_task","TestTask","","","删除IPC",""
"passed","Tue Jun 27 09:24:05 CST 2023","Tue Jun 27 09:24:06 CST 2023","1052","application.task_interface","test_interface_task","TestTask","","","新建IPC",""
