"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 02 17:03:13 CST 2023","Fri Jun 02 17:03:19 CST 2023","6272","application.task_ui","test_ui_task","TestTask","","","盒子平台添加IPC",""
"passed","Fri Jun 02 17:03:19 CST 2023","Fri Jun 02 17:03:36 CST 2023","17136","application.task_ui","test_ui_task","TestTask","","","盒子平台添加镜像文件",""
"passed","Fri Jun 02 17:03:07 CST 2023","Fri Jun 02 17:03:13 CST 2023","5938","application.task_ui","test_ui_task","TestTask","","","盒子平台登录",""
